id,plate,origin,destiny,departure,arriving,status,departure gate,take off track,arriving gate,landing track,pilot,copilot, attendants
AF450,XA269,Paris - FRANCE,Ciudad de Mexico - MEXICO,180112_0523_Europe/Paris,180112_1214_America/Mexico_City,landing,E3,2,E7,3,SP6320,JA9761,US7202;GR8941;ME6833;IR2315
LX373,XA400,Ciudad de Mexico - MEXICO,Zurich - SWITZERLAND,180122_1401_America/Mexico_City,180123_1138_Europe/Zurich,landing,A5,2,C7,2,Me7540,ME6983,ME6111;SP2261;US6694;ME2662;ME1438;US1782;ME6803
IN256,G360,Tijuana - MEXICO,Ciudad de Mexico - MEXICO,180117_1016_America/Mexico_City,180117_1216_America/Mexico_City,landing,A29,2,C13,1,ME7202,ME1292,US9498;ME2052;ME5580;FR9643
AI101,G279,Calcuta - INDIA,Ciudad de Mexico - MEXICO,180118_2149_Asia/Kolkata,180119_0156_America/Mexico_City,boarding,D9,3,D21,1,ME8683,US7787,ME9430;JA6281;US8274;US7202
VO443,XA249,Ciudad de Mexico - MEXICO,La Paz - MEXICO,180127_1738_America/Mexico_City,180127_1938_America/Mexico_City,in transit,E7,3,D26,2,ME8079,ME5028,IR9750;JA5508;ME4261;US5941;IT7768;US7202;ME3891
AF163,XA372,Ciudad de Mexico - MEXICO,Paris - FRANCE,180113_0626_America/Mexico_City,180114_0303_Europe/Paris,boarded,D5,2,C28,1,ME5837,CH3479,ME3700;ME3637;US7032;US2551;US1477
OS414,VH340,Sidney - AUSTRALIA,Ciudad de Mexico - MEXICO,180106_0935_Australia/Sydney,180106_1730_America/Mexico_City,landed,C2,1,A14,3,ME5620,US6603,ME5980;US9082;IT8473;ME9510;CH5147
BA435,XA297,Londres - UK,Ciudad de Mexico - MEXICO,180121_0818_Europe/London,180121_1419_America/Mexico_City,in transit,D1,2,C23,2,ME6091,CH1744,SW5979;ME3700;US6309
AC154,VT427,Ontario - CANADA,Ciudad de Mexico - MEXICO,180124_0253_America/Toronto,180124_1011_America/Mexico_City,boarding,C16,1,A5,1,ME9944,SW5931,ME7580;UK1615;US5649
AC181,G360,Ciudad de Mexico - MEXICO,Quebec - CANADA,180102_1345_America/Mexico_City,180102_2322_America/Toronto,boarding,E23,3,E28,2,ME8190,US4650,ME7541;FR1889;IT4625;SW4615;ME8629;ME1045;JA8826
LH260,G280,Hamburgo - GERMANY,Ciudad de Mexico - MEXICO,180101_0202_Europe/Berlin,180101_0909_America/Mexico_City,in transit,E27,2,C10,3,IT6393,US7728,JA2862;US1530;SP2678
AC427,XA102,Quebec - CANADA,Ciudad de Mexico - MEXICO,180105_1423_America/Toronto,180105_2141_America/Mexico_City,waiting,C27,3,C22,3,ME2460,CH1879,UK7277;ME1961;US7202;JA9395
NH192,XA321,Tokio - JAPAN,Ciudad de Mexico - MEXICO,180119_0715_Asia/Tokyo,180119_1156_America/Mexico_City,landing,D23,3,B24,1,UK1994,ME6123,ME8194;IR9750;US2589;ME3700;CH2320;ME3186
DL336,N297,Ciudad de Mexico - MEXICO,San Francisco - USA,180115_0704_America/Mexico_City,180115_1341_America/New_York,boarding,E27,1,E7,3,US3167,US7728,US7899;FR2375;FR3671;US8597;ME9511;CR2520
LX178,N138,Ciudad de Mexico - MEXICO,Ginebra - SWITZERLAND,180122_2236_America/Mexico_City,180123_2013_Europe/Zurich,landing,E3,1,D19,2,ME1292,ME5277,ME1967;ME5406;ME8938;ME2996;SW3630
AZ159,VH481,Ciudad de Mexico - MEXICO,Roma - ITALY,180107_1148_America/Mexico_City,180108_0825_Europe/Rome,in transit,A11,3,D2,3,US7787,SP7730,IT2263;JA9697;ME9779;ME7721;ME4567;US4212
VO315,I291,Ciudad de Mexico - MEXICO,La Paz - MEXICO,180114_1025_America/Mexico_City,180114_1225_America/Mexico_City,waiting,B10,2,E9,2,ME6061,ME6539,US2523;ME1967;UK7277;ME9914
LX399,XA480,Ciudad de Mexico - MEXICO,Ginebra - SWITZERLAND,180110_1519_America/Mexico_City,180111_1256_Europe/Zurich,boarding,D16,1,C2,1,US3738,IT4188,Me3262;US6497;ME4567;ME2393
MA385,G360,Cancun - MEXICO,Ciudad de Mexico - MEXICO,180101_0422_America/Mexico_City,180101_0622_America/Mexico_City,boarding,A3,3,E7,1,IN6666,ME7592,ME6369;ME5792;GR6764;US4791;ME5133
BA374,D356,Ciudad de Mexico - MEXICO,Manchester - UK,180121_1525_America/Mexico_City,180122_1002_Europe/London,in transit,A21,3,A5,2,ME9011,US3564,SW5354;ME9430;US7202
VO453,N300,Ciudad de Mexico - MEXICO,Monterrey - MEXICO,180111_1121_America/Mexico_City,180111_1321_America/Mexico_City,boarding,D8,3,A15,1,ME4885,US1980,ME8423;CH8793;JA3824;ME6833;US2945;SP4490
LH141,N457,Ciudad de Mexico - MEXICO,Hamburgo - GERMANY,180123_1713_America/Mexico_City,180124_1450_Europe/Berlin,boarding,A5,1,C11,2,US4658,ME1113,SW9237;SW6593;ME1045;US9259;ME8646
VO407,HB306,Guadalajara - MEXICO,Ciudad de Mexico - MEXICO,180102_1111_America/Mexico_City,180102_1311_America/Mexico_City,in transit,D14,2,E6,2,ME3427,IT6433,JA9395;US8738;UK1615;JA7874;SW3729
IN299,CF-178,Vallarta - MEXICO,Ciudad de Mexico - MEXICO,180127_0048_America/Mexico_City,180127_0248_America/Mexico_City,waiting,B28,2,B26,3,ME2798,ME6904,US8738;US3040;US1214;UK2147;FR1889;CH1431;ME5406
DL456,JA120,San Francisco - USA,Ciudad de Mexico - MEXICO,180128_0649_America/New_York,180128_1045_America/Mexico_City,boarding,B10,3,E12,3,US8859,ME2503,JA4077;Me2713;US8597;CO3491;ME8668;UK7830
IB330,CF-295,Ciudad de Mexico - MEXICO,Madrid - SPAIN,180126_1838_America/Mexico_City,180127_1415_Europe/Madrid,landing,A6,3,D8,1,SP9501,SW7077,US8453;CH4736;SP1127;ME6369;IT4625;ME6595
VI299,EC115,Guadalajara - MEXICO,Ciudad de Mexico - MEXICO,180115_1440_America/Mexico_City,180115_1640_America/Mexico_City,waiting,D15,2,C20,2,ME8136,JA4606,ME2908;CH8092;US3000;US9498;ME8184;IT8473;ME5413
AC266,N297,Toronto - CANADA,Ciudad de Mexico - MEXICO,180112_1227_America/Toronto,180112_1945_America/Mexico_City,waiting,A21,3,E18,2,ME2034,CH1460,ME9800;ME8629;GR4560;ME3286;ME8619;ME1664;ME2295
LH100,N105,Ciudad de Mexico - MEXICO,Munich - GERMANY,180116_0155_America/Mexico_City,180116_2332_Europe/Berlin,waiting,D19,3,D21,1,GR5167,SW6673,UK2147;US3171;ME2996;ME4319;ME5792
IN406,XA427,Tijuana - MEXICO,Ciudad de Mexico - MEXICO,180112_0126_America/Mexico_City,180112_0326_America/Mexico_City,boarding,A13,3,B27,2,GR5890,IT1425,ME8461;US3285;ME1447;GR6531;US8265
IN392,CF-122,Tijuana - MEXICO,Ciudad de Mexico - MEXICO,180110_0444_America/Mexico_City,180110_0644_America/Mexico_City,in transit,C29,1,B3,2,SP9476,US2889,ME9463;ME8544;IT5795;US8865;GR3117
BA125,CF-299,Ciudad de Mexico - MEXICO,Manchester - UK,180127_0308_America/Mexico_City,180127_2145_Europe/London,landed,A11,3,E9,1,ME9851,CH6437,JA3006;US3923;IN3272;ME2392
BA260,XA283,Ciudad de Mexico - MEXICO,Londres - UK,180103_0528_America/Mexico_City,180104_0005_Europe/London,boarding,D25,2,D17,1,ME9773,IR5888,ME4873;US8738;ME1582;ME1202;CR5549
LH495,XA426,Ciudad de Mexico - MEXICO,Berlin - GERMANY,180119_0115_America/Mexico_City,180119_2252_Europe/Berlin,landed,A17,2,B14,2,US9239,ME2652,ME2295;ME8385;ME2217;IN5981;SW4439;ME8984
UA365,XA107,Dallas - USA,Ciudad de Mexico - MEXICO,180102_0221_America/New_York,180102_0617_America/Mexico_City,boarding,A19,1,A3,2,ME8079,ME8568,ME5613;ME8862;ME8619;US3071;US7716;US1915;ME4319
DL270,XA294,Ciudad de Mexico - MEXICO,San Francisco - USA,180125_1332_America/Mexico_City,180125_2009_America/New_York,boarded,B14,3,A14,3,ME6466,GR7742,ME7981;US6788;ME4035;IT8853;ME1800
VI175,XA334,Guadalajara - MEXICO,Ciudad de Mexico - MEXICO,180101_0121_America/Mexico_City,180101_0321_America/Mexico_City,in transit,B11,3,D21,2,FR4032,ME2652,ME6111;US6309;UK2888;ME4567;SP2261;ME3186;SW5158
LX197,HB242,Zurich - SWITZERLAND,Ciudad de Mexico - MEXICO,180107_0136_Europe/Zurich,180107_0902_America/Mexico_City,in transit,C16,3,C18,3,US9239,US1052,US7716;ME2392;ME1938
NH393,G410,Ciudad de Mexico - MEXICO,Tokio - JAPAN,180121_0232_America/Mexico_City,180122_1409_Asia/Tokyo,landing,A24,1,D5,2,US1005,CH6437,IT7682;JA2862;US9128;ME1289;IR1784;ME4102
LH497,VT230,Hamburgo - GERMANY,Ciudad de Mexico - MEXICO,180101_1941_Europe/Berlin,180102_0248_America/Mexico_City,in transit,B4,3,E1,1,CH8254,ME8533,ME7416;GR6764;SP1127;SW6712
AI369,XA427,Calcuta - INDIA,Ciudad de Mexico - MEXICO,180103_0013_Asia/Kolkata,180103_0420_America/Mexico_City,landing,B13,3,E18,2,ME6911,UK2023,US2773;UK5344;FR9404;ME6595;ME2141
OS135,XA218,Sidney - AUSTRALIA,Ciudad de Mexico - MEXICO,180107_1418_Australia/Sydney,180107_2213_America/Mexico_City,landing,A2,2,D2,1,ME6600,GR5167,ME2295;ME6111;CH2791
AC219,XA448,Ontario - CANADA,Ciudad de Mexico - MEXICO,180109_0015_America/Toronto,180109_0733_America/Mexico_City,boarding,C21,2,C7,1,ME2224,ME4842,CH4736;JA4077;US7032
IN407,XA128,Ciudad de Mexico - MEXICO,Vallarta - MEXICO,180116_1311_America/Mexico_City,180116_1511_America/Mexico_City,landed,D27,1,C24,2,US3477,US9239,ME7815;ME5580;ME6359
DL179,XA300,San Francisco - USA,Ciudad de Mexico - MEXICO,180109_1719_America/New_York,180109_2115_America/Mexico_City,in transit,C28,1,C20,1,ME2913,SP7730,ME2537;ME7587;UK5825;JA4077;IR9986;US5213
LX247,CF-329,Ciudad de Mexico - MEXICO,Ginebra - SWITZERLAND,180113_1544_America/Mexico_City,180114_1321_Europe/Zurich,landed,D25,1,C4,3,ME2913,ME1188,IR9750;GR4560;US8368;CH5147;IT2179;US6694
IB208,N303,Barcelona - SPAIN,Ciudad de Mexico - MEXICO,180116_1944_Europe/Madrid,180117_0159_America/Mexico_City,landed,C6,1,A16,1,CH6821,ME4965,ME2830;US2523;GR4037;US5462;US7670;ME7108;ME1933
LH387,I485,Ciudad de Mexico - MEXICO,Berlin - GERMANY,180105_0302_America/Mexico_City,180106_0039_Europe/Berlin,in transit,E16,3,E20,3,ME9525,ME5277,ME2485;ME9800;ME3391;SW5563;SP2315;US2551
VI439,CF-299,Ciudad de Mexico - MEXICO,Guadalajara - MEXICO,180109_1636_America/Mexico_City,180109_1836_America/Mexico_City,waiting,A19,3,B21,2,IN6892,ME6507,SP2261;ME3351;US3171;CH2320
OS272,I478,Sidney - AUSTRALIA,Ciudad de Mexico - MEXICO,180118_0109_Australia/Sydney,180118_0904_America/Mexico_City,waiting,B7,2,D8,2,GR5167,ME2598,ME7981;CH2636;GR8686
NH468,XA427,Tokio - JAPAN,Ciudad de Mexico - MEXICO,180102_0402_Asia/Tokyo,180102_0843_America/Mexico_City,in transit,D8,2,C24,3,US7728,IT3011,ME6815;US8738;ME7638
BA197,XA480,Manchester - UK,Ciudad de Mexico - MEXICO,180111_1127_Europe/London,180111_1728_America/Mexico_City,landing,B4,2,A27,2,SP3573,UK9775,US8178;GR9429;ME8010;FR7918;JA6985;CH2636;US3040
MA454,XA442,Cancun - MEXICO,Ciudad de Mexico - MEXICO,180113_1502_America/Mexico_City,180113_1702_America/Mexico_City,landed,C12,1,C5,2,FR3387,ME8508,ME6111;UK1420;US3923
AM147,D125,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180128_1711_America/Mexico_City,180128_1911_America/Mexico_City,landed,D17,3,B13,3,ME7151,ME1522,US3171;ME1244;ME9430;SW2005
BA495,XA451,Manchester - UK,Ciudad de Mexico - MEXICO,180108_0057_Europe/London,180108_0658_America/Mexico_City,landed,D24,3,E17,3,US4105,JA6660,UK7277;ME3628;ME8668;US3171
VI125,G438,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180105_2227_America/Mexico_City,180106_0027_America/Mexico_City,boarding,D3,1,A5,3,UK9702,ME4648,ME6222;UK2888;ME8646;ME9656;ME4319;US7264
UA374,N300,Dallas - USA,Ciudad de Mexico - MEXICO,180127_2002_America/New_York,180127_2358_America/Mexico_City,in transit,E16,1,D12,3,JA6744,US2116,US9226;SP6103;US6333
AM334,XA357,Cancun - MEXICO,Ciudad de Mexico - MEXICO,180110_0356_America/Mexico_City,180110_0556_America/Mexico_City,boarding,A11,1,A7,1,US9102,ME9773,ME2232;US3171;SW2005;IT7682
VO477,XA118,Ciudad de Mexico - MEXICO,Guadalajara - MEXICO,180116_0900_America/Mexico_City,180116_1100_America/Mexico_City,in transit,B25,3,C24,3,IN1229,Me1508,IT2263;UK1392;SW5158;ME4993;IR9986;ME6359
LH276,XA433,Hamburgo - GERMANY,Ciudad de Mexico - MEXICO,180120_1053_Europe/Berlin,180120_1800_America/Mexico_City,in transit,B4,1,B24,1,US8332,ME8983,US8738;ME5739;SP8968;ME7981;US2773;CH4642;ME9543
VI126,D204,Guadalajara - MEXICO,Ciudad de Mexico - MEXICO,180102_0213_America/Mexico_City,180102_0413_America/Mexico_City,boarded,A28,1,C3,1,US3059,ME7860,ME5580;US7362;ME6803;CH3782;ME4798;ME1967
NH119,D477,Ciudad de Mexico - MEXICO,Tokio - JAPAN,180114_0302_America/Mexico_City,180115_1439_Asia/Tokyo,landing,A28,1,E12,2,ME9436,ME7006,SP8968;GR6531;JA7874;SW5979;US8738;ME7800
AA370,CF-299,Nueva York - USA,Ciudad de Mexico - MEXICO,180101_1445_America/New_York,180101_1841_America/Mexico_City,in transit,D9,3,E21,1,US1497,SW9892,ME5405;ME6833;ME5539;ME3202
OS158,F195,Ciudad de Mexico - MEXICO,Sidney - AUSTRALIA,180109_0859_America/Mexico_City,180111_0236_Australia/Sydney,waiting,E9,2,A6,2,ME5239,ME1177,ME6111;SP2261;ME5494;SW6712;ME8192;SW1036
AZ227,I354,Roma - ITALY,Ciudad de Mexico - MEXICO,180128_2350_Europe/Rome,180129_0600_America/Mexico_City,boarded,E27,2,A10,1,GR3724,ME4649,ME9430;ME7744;US4229;ME5494
IN423,D151,Tijuana - MEXICO,Ciudad de Mexico - MEXICO,180127_1807_America/Mexico_City,180127_2007_America/Mexico_City,waiting,C1,3,A23,1,ME9062,ME5585,ME3628;SW5354;ME6815
VI315,CF-215,Ciudad de Mexico - MEXICO,Guadalajara - MEXICO,180124_1158_America/Mexico_City,180124_1358_America/Mexico_City,landing,D5,3,E24,2,ME6940,ME5277,JA8826;ME9159;ME9318;US3171;ME1800;SW9237
VO126,I291,Monterrey - MEXICO,Ciudad de Mexico - MEXICO,180103_1152_America/Mexico_City,180103_1352_America/Mexico_City,waiting,E27,3,C1,1,IT1815,US1795,GR4580;US9844;ME7313
AC145,HB471,Ciudad de Mexico - MEXICO,Toronto - CANADA,180115_0549_America/Mexico_City,180115_1526_America/Toronto,boarding,C26,1,A27,2,UK6048,ME4625,US6309;ME8629;US2945;ME3061;ME8544;ME2776;ME9511
VO254,HB168,Guadalajara - MEXICO,Ciudad de Mexico - MEXICO,180112_1533_America/Mexico_City,180112_1733_America/Mexico_City,landed,D17,2,D29,1,ME9851,ME2690,ME4297;ME9914;SW5354;US6422
VI167,EC434,Cancun - MEXICO,Ciudad de Mexico - MEXICO,180104_0238_America/Mexico_City,180104_0438_America/Mexico_City,landing,A9,3,D4,1,CR4728,ME5585,US6333;US4894;Me2713;ME3061;ME6815
MA466,XA118,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180101_0555_America/Mexico_City,180101_0755_America/Mexico_City,landed,A19,1,C16,2,SW6306,JA4126,CH2320;ME9318;ME1800
IB367,N363,Barcelona - SPAIN,Ciudad de Mexico - MEXICO,180105_0116_Europe/Madrid,180105_0731_America/Mexico_City,landing,A13,2,E1,3,IT6421,CH8254,US6897;ME8192;US3098;US3071;US1250
AC325,VH370,Ontario - CANADA,Ciudad de Mexico - MEXICO,180106_1833_America/Toronto,180107_0151_America/Mexico_City,in transit,D18,3,B2,3,FR2355,ME2798,ME7012;US7670;IR9986;SW3729;SW3630;US8453;ME1961
AM271,CF-299,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180125_0353_America/Mexico_City,180125_0553_America/Mexico_City,boarded,E9,1,C21,2,CR4728,ME2503,SW2429;ME3241;ME4487;ME8385;FR1889
AZ488,F313,Roma - ITALY,Ciudad de Mexico - MEXICO,180128_1304_Europe/Rome,180128_1914_America/Mexico_City,boarded,D3,1,E27,3,CH1460,CR8996,CH7834;GR4152;ME2348;ME2485;UK2147
AC495,VT344,Ciudad de Mexico - MEXICO,Ontario - CANADA,180105_1734_America/Mexico_City,180106_0311_America/Toronto,boarding,C23,3,D26,3,CH2197,US1005,US3285;Me3262;ME5405;ME8984
AA459,CF-357,Ciudad de Mexico - MEXICO,Nueva York - USA,180108_1740_America/Mexico_City,180109_0017_America/New_York,landed,A6,3,B15,2,US6603,JA1867,CH4736;US2928;GR4152;ME7633;CH3782;US1782
AM188,XA330,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180121_1256_America/Mexico_City,180121_1456_America/Mexico_City,boarded,B10,1,C22,2,JA7703,FR2355,ME6038;ME3785;IR6209;UK1420;JA9465
DL373,XA271,Ciudad de Mexico - MEXICO,San Francisco - USA,180120_1914_America/Mexico_City,180121_0151_America/New_York,boarded,D9,3,B27,3,ME4956,US8387,CH2636;US6497;US7716;CR2520;ME3492
LH197,G110,Berlin - GERMANY,Ciudad de Mexico - MEXICO,180108_1031_Europe/Berlin,180108_1738_America/Mexico_City,landed,D1,1,B23,1,ME2109,ME9773,FR9404;CH8793;ME5974;ME2662
AZ334,N137,Ciudad de Mexico - MEXICO,Roma - ITALY,180109_2156_America/Mexico_City,180110_1833_Europe/Rome,in transit,A9,1,E24,2,US7717,ME4842,ME2393;ME2348;US4635
VO291,D117,Ciudad de Mexico - MEXICO,La Paz - MEXICO,180105_2035_America/Mexico_City,180105_2235_America/Mexico_City,landing,E23,1,A13,2,ME9631,ME7287,UK7830;ME3045;SW6712;US6674;UK6967;ME8668;ME7379
LX150,XA206,Ginebra - SWITZERLAND,Ciudad de Mexico - MEXICO,180115_0355_Europe/Zurich,180115_1121_America/Mexico_City,boarding,D1,3,D1,1,UK2982,US5134,ME7313;US6674;IT2263
IN169,XA330,Tijuana - MEXICO,Ciudad de Mexico - MEXICO,180119_0356_America/Mexico_City,180119_0556_America/Mexico_City,waiting,E28,1,C17,3,SW3577,ME3427,IR9361;ME1447;ME8159;ME4993;US7670;JA4141
IB149,XA123,Ciudad de Mexico - MEXICO,Madrid - SPAIN,180110_1019_America/Mexico_City,180111_0556_Europe/Madrid,landed,B9,1,B2,2,US1099,GR5890,US3435;ME7416;SP4359
UA366,XA329,Ciudad de Mexico - MEXICO,Washington - USA,180127_2151_America/Mexico_City,180128_0428_America/New_York,waiting,D2,1,E18,2,ME1559,SP1349,ME2485;ME7981;US3285;CH2320;GR4580;ME4297
LX340,CF-216,Zurich - SWITZERLAND,Ciudad de Mexico - MEXICO,180111_1922_Europe/Zurich,180112_0248_America/Mexico_City,landed,C25,1,C3,2,SW5211,US7838,ME3854;IN1759;US4212;ME7721;US2618
NH494,N135,Ciudad de Mexico - MEXICO,Tokio - JAPAN,180119_2319_America/Mexico_City,180121_1056_Asia/Tokyo,landing,E8,3,E28,3,ME5028,ME8501,ME6595;ME6369;JA7918;ME7633;ME8192;ME5824;ME7416
LX418,XA271,Ciudad de Mexico - MEXICO,Zurich - SWITZERLAND,180123_1622_America/Mexico_City,180124_1359_Europe/Zurich,boarding,D11,2,A8,2,ME1559,ME7850,ME6359;CH2636;FR3671;ME2681;US5712;ME9538
AM325,XA455,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180104_1133_America/Mexico_City,180104_1333_America/Mexico_City,landing,A21,1,B14,2,ME9122,ME1177,US8779;ME2295;IR9986
UA143,F405,Dallas - USA,Ciudad de Mexico - MEXICO,180107_1223_America/New_York,180107_1619_America/Mexico_City,in transit,C12,3,C17,3,ME8508,US9239,ME6111;ME9285;US8738;ME4613;US8865;US6727
DL159,CF-216,San Francisco - USA,Ciudad de Mexico - MEXICO,180108_0944_America/New_York,180108_1340_America/Mexico_City,in transit,A22,2,E12,1,UK6048,ME6866,SW6712;ME4846;CH4837;ME9914;UK6967;SW4615;ME1504
IB351,D304,Ciudad de Mexico - MEXICO,Barcelona - SPAIN,180128_1123_America/Mexico_City,180129_0700_Europe/Madrid,boarded,D9,2,D6,2,SW1622,IR2008,US2773;ME4613;UK1423;US9912
VO334,CF-329,Ciudad de Mexico - MEXICO,Guadalajara - MEXICO,180110_0935_America/Mexico_City,180110_1135_America/Mexico_City,boarded,E17,1,B7,2,US2751,ME9304,JA3160;ME3874;CH8092;ME4261;ME7364
IN164,VT285,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180102_0633_America/Mexico_City,180102_0833_America/Mexico_City,boarded,E1,2,A17,2,US5459,ME8690,SW9237;US8265;US4611
VO383,HB234,Ciudad de Mexico - MEXICO,Guadalajara - MEXICO,180115_2118_America/Mexico_City,180115_2318_America/Mexico_City,landed,E6,1,D8,2,ME4842,ME5016,ME6526;ME9463;ME2693;GR9429
IN324,XA436,Vallarta - MEXICO,Ciudad de Mexico - MEXICO,180101_1905_America/Mexico_City,180101_2105_America/Mexico_City,landing,C14,1,C11,1,ME9469,ME9010,SW3729;ME2141;ME4035;JA3944;IT9637
VI445,XA372,Ciudad de Mexico - MEXICO,Guadalajara - MEXICO,180119_1952_America/Mexico_City,180119_2152_America/Mexico_City,boarded,C19,3,D24,1,IT8955,ME7226,ME8629;SP6470;ME8544;ME6421;ME2484
IB179,JA477,Ciudad de Mexico - MEXICO,Barcelona - SPAIN,180104_1834_America/Mexico_City,180105_1411_Europe/Madrid,landed,A2,2,B23,1,ME6539,US1276,US9498;JA3824;JA8523;IN7458;US1477
IN235,EC457,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180104_1741_America/Mexico_City,180104_1941_America/Mexico_City,boarding,A10,3,A12,1,JA1867,US2610,FR5373;ME2285;US6897;ME8862;ME4615
DL414,VH243,Ciudad de Mexico - MEXICO,San Francisco - USA,180122_1657_America/Mexico_City,180122_2334_America/New_York,waiting,B16,1,C29,3,ME2104,GR5890,CH8297;UK7830;JA8523;JA9465;US1399
NH117,D356,Tokio - JAPAN,Ciudad de Mexico - MEXICO,180111_0445_Asia/Tokyo,180111_0926_America/Mexico_City,in transit,A15,3,B9,1,UK9775,ME6920,JA3824;CH4642;IN1368
IN271,CF-178,Tijuana - MEXICO,Ciudad de Mexico - MEXICO,180127_1706_America/Mexico_City,180127_1906_America/Mexico_City,in transit,C2,1,A20,3,ME5172,IT6433,JA9465;GR3117;US3000;ME3286;SP6103
AE403,VH260,Los Cabos - MEXICO,Ciudad de Mexico - MEXICO,180116_2119_America/Mexico_City,180116_2319_America/Mexico_City,boarded,A7,1,E14,2,US4502,IT6421,ME4683;SW5354;ME3492;ME5245;ME3061
IB474,XA433,Ciudad de Mexico - MEXICO,Madrid - SPAIN,180114_1001_America/Mexico_City,180115_0538_Europe/Madrid,landed,B24,1,B26,1,ME3452,US2116,JA7918;JA2862;US2551;US9226;SP2261
LH374,XA206,Hamburgo - GERMANY,Ciudad de Mexico - MEXICO,180101_1205_Europe/Berlin,180101_1912_America/Mexico_City,boarding,D25,3,A9,1,US7838,ME8190,ME8862;ME7633;US9498;JA2862;US3000;US7362;IR9058
MA304,N138,Cancun - MEXICO,Ciudad de Mexico - MEXICO,180108_0742_America/Mexico_City,180108_0942_America/Mexico_City,boarded,C25,3,A13,2,ME7075,UK5508,US7264;ME9318;CR5549;US1782;IN8413;Me3262;SW5354
IB238,XA323,Madrid - SPAIN,Ciudad de Mexico - MEXICO,180113_1019_Europe/Madrid,180113_1634_America/Mexico_City,in transit,B13,2,B23,3,US8105,ME2798,ME3003;UK1278;Me9521;ME9543;ME2485;ME9729
